Date,TX60
4/19/2021 16:00:00,1145.18
4/20/2021 16:00:00,1134.03
4/21/2021 16:00:00,1139.72
4/22/2021 16:00:00,1132.47
4/23/2021 16:00:00,1136.4
4/26/2021 16:00:00,1140.45
4/27/2021 16:00:00,1141.14
4/28/2021 16:00:00,1153.39
4/29/2021 16:00:00,1147.95
4/30/2021 16:00:00,1138.85
5/03/2021 16:00,1143.26
5/04/2021 16:00,1144
5/05/2021 16:00,1152.01
5/06/2021 16:00,1150.91
5/07/2021 16:00,1161.59
5/10/2021 16:00,1155.97
5/11/2021 16:00,1151.07
5/12/2021 16:00,1143.95
5/13/2021 16:00:00,1147.21
5/14/2021 16:00:00,1160.06
5/17/2021 16:00:00,1166.5
5/18/2021 16:00:00,1168.08
5/19/2021 16:00:00,1162.69
5/20/2021 16:00:00,1170.7
5/21/2021 16:00:00,1169.48
5/25/2021 16:00:00,1172.46
5/26/2021 16:00:00,1183.65
5/27/2021 16:00:00,1184.36
5/28/2021 16:00:00,1189.6
5/31/2021 16:00:00,1180.14
6/01/2021 16:00,1196.46
6/02/2021 16:00,1194.77
6/03/2021 16:00,1193.37
6/04/2021 16:00,1199.19
6/07/2021 16:00,1199.33
6/08/2021 16:00,1200.12
6/09/2021 16:00,1195.15
6/10/2021 16:00,1197.19
6/11/2021 16:00,1202.83
6/14/2021 16:00:00,1205.45
6/15/2021 16:00:00,1212.02
6/16/2021 16:00:00,1212.95
6/17/2021 16:00:00,1209.85
6/18/2021 16:00:00,1201.65
6/21/2021 16:00:00,1210.23
6/22/2021 16:00:00,1211.62
6/23/2021 16:00:00,1208.65
6/24/2021 16:00:00,1211.67
6/25/2021 16:00:00,1213.5
6/28/2021 16:00:00,1208.12
6/29/2021 16:00:00,1210.22
